0 Deg Regular Run 5 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 0.038081 -2.020800
0.020000 0.037204 -2.026009
0.040000 0.036447 -2.028726
0.060000 0.035802 -2.031946
0.080000 0.035265 -2.022032
0.100000 0.034828 -2.023404
0.120000 0.034486 -2.028039
0.140000 0.034233 -2.020954
0.160000 0.034062 -2.021374
0.180000 0.033967 -2.036372
0.200000 0.033942 -2.028306
0.220000 0.033981 -2.039648
0.240000 0.034078 -2.030630
0.260000 0.034226 -2.031680
0.280000 0.034420 -2.031694
0.300000 0.034653 -2.038458
0.320000 0.034919 -2.035167
0.340000 0.035211 -2.024189
0.360000 0.035525 -2.029244
0.380000 0.035853 -2.033487
0.400000 0.036190 -2.027479
0.420000 0.036000 -2.028404
0.440000 0.035364 -2.033361
0.460000 0.036152 -2.029482
0.480000 0.035743 -2.025351
0.500000 0.036220 -2.029104
0.520000 0.038066 -2.027451
0.540000 0.036775 -2.028376
0.560000 0.036601 -2.027969
0.580000 0.037814 -2.023208
0.600000 0.038627 -2.028754
0.620000 0.038310 -2.024399
0.640000 0.037617 -2.024217
0.660000 0.038603 -2.027199
0.680000 0.039552 -2.025015
0.700000 0.038799 -2.028082
0.720000 0.039570 -2.022284
0.740000 0.040046 -2.026275
0.760000 0.040706 -2.027199
0.780000 0.040935 -2.026499
0.800000 0.040269 -2.019119
0.820000 0.040732 -2.022144
0.840000 0.040994 -2.029146
0.860000 0.041546 -2.025057
0.880000 0.042357 -2.023642
0.900000 0.042049 -2.020912
0.920000 0.042204 -2.017761
0.940000 0.042140 -2.025225
0.960000 0.042941 -2.025757
0.980000 0.042831 -2.028222
1.000000 0.042803 -2.028236
1.020000 0.043708 -2.032325
1.040000 0.044308 -2.031666
1.060000 0.045039 -2.033053
1.080000 0.044536 -2.029972
1.100000 0.042765 -2.033669
1.120000 0.042998 -2.027017
1.140000 0.043276 -2.025337
1.160000 0.043554 -2.027059
1.180000 0.043414 -2.023838
1.200000 0.043715 -2.022676
1.220000 0.042136 -2.019595
1.240000 0.042110 -2.017481
1.260000 0.042276 -2.037142
1.280000 0.041844 -2.025169
1.300000 0.042241 -2.028642
1.320000 0.041549 -2.025981
1.340000 0.039068 -2.027829
1.360000 0.039360 -2.033375
1.380000 0.039735 -2.026877
1.400000 0.039333 -2.035251
1.420000 0.038055 -2.034719
1.440000 0.037064 -2.024483
1.460000 0.036950 -2.020380
1.480000 0.036028 -2.030602
1.500000 0.034464 -2.030476
1.520000 0.034567 -2.023138
1.540000 0.033822 -2.022816
1.560000 0.032435 -2.032633
1.580000 0.031470 -2.032479
1.600000 0.030868 -2.027353
1.620000 0.031375 -2.032955
1.640000 0.031482 -2.030588
1.660000 0.030889 -2.029006
1.680000 0.029970 -2.028894
1.700000 0.027350 -2.022298
1.720000 0.025576 -2.023334
1.740000 0.025369 -2.030994
1.760000 0.024947 -2.021892
1.780000 0.023796 -2.030126
1.800000 0.023085 -2.033739
1.820000 0.023441 -2.027969
1.840000 0.022430 -2.027115
1.860000 0.021518 -2.021612
1.880000 0.020569 -2.022634
1.900000 0.020097 -2.025141
1.920000 0.020741 -2.030420
1.940000 0.021079 -2.030182
1.960000 0.020795 -2.026359
1.980000 0.021038 -2.020982
2.000000 0.020851 -2.033613
2.020000 0.019645 -2.023348
2.040000 0.021124 -2.022242
2.060000 0.021056 -2.023292
2.080000 0.020024 -2.026457
2.100000 0.018983 -2.022760
2.120000 0.017747 -2.030224
2.140000 0.016701 -2.025141
2.160000 0.017509 -2.023979
2.180000 0.017345 -2.028628
2.200000 0.016243 -2.027073
2.220000 0.014367 -2.029062
2.240000 0.013413 -2.032353
2.260000 0.011556 -2.026639
2.280000 0.011015 -2.029496
2.300000 0.010774 -2.033697
2.320000 0.009779 -2.031484
2.340000 0.008568 -2.026415
2.360000 0.006580 -2.024497
2.380000 0.005509 -2.030728
2.400000 0.004237 -2.021654
2.420000 0.002385 -2.024469
2.440000 -0.000159 -2.028348
2.460000 -0.002736 -2.032058
2.480000 -0.005028 -2.023026
2.500000 -0.007179 -2.034061
2.520000 -0.009580 -2.025687
2.540000 -0.009975 -2.027003
2.560000 -0.011604 -2.023726
2.580000 -0.011761 -2.025477
2.600000 -0.013455 -2.028796
2.620000 -0.014067 -2.021038
2.640000 -0.017521 -2.023208
2.660000 -0.018900 -2.022760
2.680000 -0.020734 -2.030868
2.700000 -0.020397 -2.030168
2.720000 -0.021407 -2.032829
2.740000 -0.021855 -2.020254
2.760000 -0.022654 -2.024413
2.780000 -0.023983 -2.029300
2.800000 -0.024039 -2.034089
2.820000 -0.024582 -2.026527
2.840000 -0.024767 -2.023138
2.860000 -0.026038 -2.025491
2.880000 -0.026680 -2.025113
2.900000 -0.025937 -2.029244
2.920000 -0.024669 -2.032353
2.940000 -0.023302 -2.035643
2.960000 -0.022630 -2.027423
2.980000 -0.023346 -2.025743
3.000000 -0.022701 -2.025631
3.020000 -0.020851 -2.035727
3.040000 -0.019639 -2.033179
3.060000 -0.018386 -2.031834
3.080000 -0.015388 -2.026569
3.100000 -0.013565 -2.031330
3.120000 -0.012084 -2.028138
3.140000 -0.009885 -2.025281
3.160000 -0.007985 -2.021192
3.180000 -0.004992 -2.030042
3.200000 -0.000961 -2.028544
3.220000 0.002368 -2.027549
3.240000 0.005481 -2.033599
3.260000 0.009437 -2.018125
3.280000 0.011976 -2.035363
3.300000 0.015511 -2.028810
3.320000 0.018663 -2.031330
3.340000 0.022921 -2.027675
3.360000 0.026568 -2.025337
3.380000 0.029682 -2.032969
3.400000 0.032213 -2.027227
3.420000 0.034717 -2.025169
3.440000 0.036629 -2.026107
3.460000 0.040385 -2.030672
3.480000 0.042497 -2.029216
3.500000 0.044324 -2.028964
3.520000 0.045819 -2.028376
3.540000 0.047029 -2.034019
3.560000 0.046721 -2.031050
3.580000 0.047053 -2.030364
3.600000 0.047837 -2.033319
3.620000 0.047713 -2.033165
3.640000 0.047969 -2.022564
3.660000 0.048060 -2.023236
3.680000 0.048122 -2.026471
3.700000 0.048441 -2.023810
3.720000 0.047911 -2.030266
3.740000 0.046993 -2.025771
3.760000 0.045133 -2.020604
3.780000 0.044448 -2.021892
3.800000 0.044522 -2.024973
3.820000 0.044027 -2.030420
3.840000 0.042383 -2.025757
3.860000 0.041809 -2.027633
3.880000 0.041511 -2.022900
3.900000 0.041732 -2.029426
3.920000 0.042809 -2.028474
3.940000 0.044003 -2.028222
3.960000 0.046629 -2.024805
3.980000 0.048859 -2.022662
4.000000 0.051912 -2.026191
4.020000 0.053956 -2.028362
4.040000 0.056818 -2.023194
4.060000 0.061628 -2.024133
4.080000 0.063406 -2.023166
4.100000 0.066996 -2.021934
4.120000 0.070065 -2.028726
4.140000 0.073887 -2.031120
4.160000 0.077300 -2.020212
4.180000 0.080063 -2.028796
4.200000 0.082319 -2.027703
4.220000 0.084976 -2.035097
4.240000 0.087470 -2.032731
4.260000 0.089506 -2.020100
4.280000 0.090714 -2.022326
4.300000 0.092034 -2.027101
4.320000 0.094605 -2.024959
4.340000 0.093757 -2.029482
4.360000 0.094953 -2.021052
4.380000 0.097609 -2.024385
4.400000 0.098841 -2.029636
4.420000 0.099396 -2.027479
4.440000 0.099667 -2.029104
4.460000 0.100207 -2.024413
4.480000 0.100404 -2.031022
4.500000 0.100722 -2.029454
4.520000 0.100248 -2.028039
4.540000 0.100114 -2.026723
4.560000 0.100814 -2.020898
4.580000 0.101326 -2.016165
4.600000 0.101594 -2.019567
4.620000 0.100940 -2.026807
4.640000 0.099951 -2.026821
4.660000 0.100265 -2.032899
4.680000 0.101146 -2.025295
4.700000 0.101664 -2.029538
4.720000 0.102107 -2.024035
4.740000 0.101450 -2.032297
4.760000 0.101351 -2.029958
4.780000 0.100193 -2.032128
4.800000 0.099953 -2.031778
4.820000 0.097509 -2.026317
4.840000 0.097231 -2.037562
4.860000 0.095761 -2.039158
4.880000 0.093774 -2.030322
4.900000 0.094216 -2.028768
4.920000 0.091878 -2.037016
4.940000 0.089993 -2.026947
4.960000 0.087048 -2.026415
4.980000 0.082836 -2.024021
5.000000 0.079609 -2.024875
5.020000 0.076322 -2.032913
5.040000 0.070968 -2.028306
5.060000 0.066095 -2.034159
5.080000 0.060714 -2.039494
5.100000 0.055752 -2.032591
5.120000 0.050632 -2.034313
5.140000 0.045614 -2.029790
5.160000 0.040641 -2.024595
5.180000 0.033875 -2.026037
5.200000 0.026130 -2.029090
5.220000 0.018677 -2.036876
5.240000 0.011456 -2.029398
5.260000 0.004570 -2.034243
5.280000 -0.002948 -2.034831
5.300000 -0.008287 -2.030238
5.320000 -0.012413 -2.036329
5.340000 -0.016959 -2.032759
5.360000 -0.021457 -2.028712
5.380000 -0.028093 -2.033725
5.400000 -0.034178 -2.029524
5.420000 -0.040540 -2.030350
5.440000 -0.045198 -2.026415
5.460000 -0.052015 -2.029832
5.480000 -0.057827 -2.031792
5.500000 -0.065000 -2.027381
5.520000 -0.070366 -2.030112
5.540000 -0.076319 -2.026093
5.560000 -0.081909 -2.035419
5.580000 -0.087336 -2.029426
5.600000 -0.093222 -2.025953
5.620000 -0.098968 -2.031596
5.640000 -0.101904 -2.028110
5.660000 -0.106435 -2.031512
5.680000 -0.110695 -2.029314
5.700000 -0.114795 -2.030168
5.720000 -0.119432 -2.022928
5.740000 -0.122394 -2.028404
5.760000 -0.126111 -2.027283
5.780000 -0.129147 -2.028334
5.800000 -0.130447 -2.021906
5.820000 -0.133534 -2.027801
5.840000 -0.137792 -2.031330
5.860000 -0.140297 -2.030952
5.880000 -0.143123 -2.028068
5.900000 -0.144846 -2.031302
5.920000 -0.145976 -2.031442
5.940000 -0.146987 -2.036540
5.960000 -0.148677 -2.025197
5.980000 -0.150458 -2.038640
6.000000 -0.150620 -2.031246
6.020000 -0.149598 -2.019231
6.040000 -0.147858 -2.024539
6.060000 -0.145326 -2.027801
6.080000 -0.141983 -2.028250
6.100000 -0.138019 -2.023937
6.120000 -0.135972 -2.037506
6.140000 -0.134163 -2.033221
6.160000 -0.130420 -2.024315
6.180000 -0.127223 -2.026233
6.200000 -0.122758 -2.031078
6.220000 -0.117905 -2.033837
6.240000 -0.112529 -2.032339
6.260000 -0.107007 -2.028712
6.280000 -0.098420 -2.030630
6.300000 -0.091690 -2.032283
6.320000 -0.084926 -2.033473
6.340000 -0.078541 -2.026345
6.360000 -0.069512 -2.033109
6.380000 -0.060244 -2.022172
6.400000 -0.051284 -2.026695
6.420000 -0.040943 -2.025841
6.440000 -0.030455 -2.027773
6.460000 -0.019525 -2.028572
6.480000 -0.009480 -2.023320
6.500000 0.003728 -2.025827
6.520000 0.016377 -2.028278
6.540000 0.028033 -2.025631
6.560000 0.040244 -2.025659
6.580000 0.051767 -2.024847
6.600000 0.063927 -2.030210
6.620000 0.074118 -2.021976
6.640000 0.084259 -2.024021
6.660000 0.095832 -2.026401
6.680000 0.107492 -2.031526
6.700000 0.120428 -2.023012
6.720000 0.133350 -2.032030
6.740000 0.144736 -2.033165
6.760000 0.155366 -2.032072
6.780000 0.165789 -2.028194
6.800000 0.176591 -2.026303
6.820000 0.186339 -2.034985
6.840000 0.195309 -2.028166
6.860000 0.203401 -2.032297
6.880000 0.210105 -2.027619
6.900000 0.216356 -2.031862
6.920000 0.222470 -2.034369
6.940000 0.228998 -2.034439
6.960000 0.233584 -2.036343
6.980000 0.236697 -2.032339
7.000000 0.240987 -2.024553
7.020000 0.243314 -2.039984
7.040000 0.244916 -2.035601
7.060000 0.246734 -2.026835
7.080000 0.247540 -2.029440
7.100000 0.244716 -2.029720
7.120000 0.243150 -2.027731
7.140000 0.242301 -2.025407
7.160000 0.240979 -2.022662
7.180000 0.235899 -2.031372
7.200000 0.230174 -2.026583
7.220000 0.223794 -2.023824
7.240000 0.214945 -2.030686
7.260000 0.205619 -2.023530
7.280000 0.196055 -2.036596
7.300000 0.187399 -2.028698
7.320000 0.176260 -2.032815
7.340000 0.162155 -2.028320
7.360000 0.145580 -2.036259
7.380000 0.127639 -2.025449
7.400000 0.110726 -2.026849
7.420000 0.093925 -2.028460
7.440000 0.076907 -2.029370
7.460000 0.056786 -2.029342
7.480000 0.034327 -2.028404
7.500000 0.009791 -2.030070
7.520000 -0.014433 -2.027199
7.540000 -0.040327 -2.026037
7.560000 -0.063930 -2.030364
7.580000 -0.086755 -2.035349
7.600000 -0.111755 -2.032030
7.620000 -0.137270 -2.033417
7.640000 -0.163367 -2.027185
7.660000 -0.189307 -2.026191
7.680000 -0.217284 -2.025351
7.700000 -0.242915 -2.027843
7.720000 -0.268786 -2.030210
7.740000 -0.295280 -2.034831
7.760000 -0.322457 -2.026513
7.780000 -0.347566 -2.030672
7.800000 -0.372820 -2.037114
7.820000 -0.398313 -2.028011
7.840000 -0.419409 -2.036133
7.860000 -0.438080 -2.037226
7.880000 -0.454850 -2.028068
7.900000 -0.471140 -2.036007
7.920000 -0.487075 -2.037828
7.940000 -0.501418 -2.025071
7.960000 -0.513301 -2.034215
7.980000 -0.522173 -2.031932
8.000000 -0.530332 -2.032255
8.020000 -0.537445 -2.033011
8.040000 -0.541310 -2.035937
8.060000 -0.542121 -2.035671
8.080000 -0.540484 -2.033851
8.100000 -0.537127 -2.025897
8.120000 -0.533418 -2.033739
8.140000 -0.528316 -2.037296
8.160000 -0.518208 -2.027997
8.180000 -0.504081 -2.033207
8.200000 -0.488528 -2.032549
8.220000 -0.471073 -2.040362
8.240000 -0.453069 -2.027395
8.260000 -0.433738 -2.030126
8.280000 -0.412668 -2.035951
8.300000 -0.385874 -2.029286
8.320000 -0.354856 -2.030952
8.340000 -0.323692 -2.030462
8.360000 -0.288918 -2.028068
8.380000 -0.254698 -2.027325
8.400000 -0.221244 -2.025393
8.420000 -0.184464 -2.020968
8.440000 -0.144914 -2.031708
8.460000 -0.103684 -2.025701
8.480000 -0.065110 -2.024707
8.500000 -0.021468 -2.024091
8.520000 0.022295 -2.029412
8.540000 0.066461 -2.027563
8.560000 0.111473 -2.033669
8.580000 0.158638 -2.025379
8.600000 0.205871 -2.030630
8.620000 0.252516 -2.024133
8.640000 0.299790 -2.026205
8.660000 0.344950 -2.031442
8.680000 0.389782 -2.025673
8.700000 0.431883 -2.025631
8.720000 0.472401 -2.031078
8.740000 0.512262 -2.027927
8.760000 0.549262 -2.020408
