0 Deg Regular Run 11 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 0.098357 -2.019441
0.020000 0.101865 -2.013588
0.040000 0.105085 -2.017873
0.060000 0.108029 -2.024441
0.080000 0.110709 -2.015927
0.100000 0.113138 -2.025099
0.120000 0.115329 -2.024413
0.140000 0.117293 -2.020268
0.160000 0.119043 -2.016151
0.180000 0.120592 -2.017929
0.200000 0.121952 -2.020086
0.220000 0.123135 -2.019736
0.240000 0.124154 -2.014596
0.260000 0.125021 -2.021388
0.280000 0.125749 -2.018853
0.300000 0.126350 -2.015562
0.320000 0.126836 -2.020100
0.340000 0.127221 -2.011712
0.360000 0.127515 -2.017607
0.380000 0.127732 -2.016655
0.400000 0.127885 -2.017649
0.420000 0.129055 -2.019918
0.440000 0.129379 -2.022942
0.460000 0.130041 -2.017005
0.480000 0.130857 -2.024735
0.500000 0.131311 -2.013882
0.520000 0.131299 -2.026821
0.540000 0.130185 -2.022690
0.560000 0.129049 -2.020828
0.580000 0.128513 -2.020688
0.600000 0.128824 -2.017649
0.620000 0.129336 -2.022424
0.640000 0.129995 -2.015226
0.660000 0.130268 -2.016487
0.680000 0.130325 -2.019848
0.700000 0.129938 -2.020240
0.720000 0.128435 -2.023320
0.740000 0.127330 -2.014330
0.760000 0.129009 -2.018321
0.780000 0.129234 -2.015464
0.800000 0.128839 -2.024721
0.820000 0.128853 -2.014204
0.840000 0.130019 -2.014960
0.860000 0.130166 -2.018839
0.880000 0.129726 -2.012986
0.900000 0.129547 -2.009835
0.920000 0.128388 -2.024707
0.940000 0.127661 -2.013210
0.960000 0.126042 -2.015450
0.980000 0.125514 -2.020464
1.000000 0.125237 -2.012510
1.020000 0.125085 -2.016641
1.040000 0.125233 -2.022046
1.060000 0.124897 -2.017565
1.080000 0.123336 -2.014722
1.100000 0.121696 -2.023838
1.120000 0.120899 -2.020058
1.140000 0.119393 -2.019161
1.160000 0.117294 -2.019273
1.180000 0.116495 -2.017481
1.200000 0.116747 -2.018531
1.220000 0.115795 -2.019651
1.240000 0.114503 -2.020394
1.260000 0.113772 -2.022158
1.280000 0.112043 -2.016907
1.300000 0.110516 -2.022312
1.320000 0.109711 -2.017635
1.340000 0.108560 -2.016585
1.360000 0.107559 -2.018475
1.380000 0.106355 -2.016305
1.400000 0.106294 -2.020226
