0 Deg Regular Run 4 2018-04-12
Time(s) Response(deg) LoadCell(N)
0.000000 0.041634 -2.033781
0.020000 0.037474 -2.037422
0.040000 0.033656 -2.039662
0.060000 0.030167 -2.036147
0.080000 0.026995 -2.041385
0.100000 0.024124 -2.033977
0.120000 0.021542 -2.032521
0.140000 0.019235 -2.031792
0.160000 0.017188 -2.040068
0.180000 0.015389 -2.031358
0.200000 0.013823 -2.032241
0.220000 0.012477 -2.028866
0.240000 0.011337 -2.026331
0.260000 0.010390 -2.033599
0.280000 0.009621 -2.039774
0.300000 0.009017 -2.038850
0.320000 0.008564 -2.036386
0.340000 0.008249 -2.033767
0.360000 0.008057 -2.037408
0.380000 0.007976 -2.034551
0.400000 0.007991 -2.034845
0.420000 0.007763 -2.034929
0.440000 0.008137 -2.036876
0.460000 0.007653 -2.031778
0.480000 0.007347 -2.037436
0.500000 0.006809 -2.044816
0.520000 0.007331 -2.037772
0.540000 0.006542 -2.037506
0.560000 0.007890 -2.035867
0.580000 0.007665 -2.035377
0.600000 0.009289 -2.028586
0.620000 0.009491 -2.028039
0.640000 0.008609 -2.026709
0.660000 0.008007 -2.035433
0.680000 0.007524 -2.029776
0.700000 0.009574 -2.026751
0.720000 0.010734 -2.039984
0.740000 0.012389 -2.043513
0.760000 0.014571 -2.028432
0.780000 0.015196 -2.029384
0.800000 0.015294 -2.041469
0.820000 0.016540 -2.027325
0.840000 0.015992 -2.035139
0.860000 0.016912 -2.029188
0.880000 0.018423 -2.026709
0.900000 0.019271 -2.036470
0.920000 0.020283 -2.030518
0.940000 0.020917 -2.030462
0.960000 0.021309 -2.034425
0.980000 0.020342 -2.028586
1.000000 0.020171 -2.039158
1.020000 0.019331 -2.043051
1.040000 0.019487 -2.039018
1.060000 0.020591 -2.032044
1.080000 0.019481 -2.029510
1.100000 0.019885 -2.035013
1.120000 0.018255 -2.031274
1.140000 0.017476 -2.039270
1.160000 0.015767 -2.034145
1.180000 0.014432 -2.033529
1.200000 0.013081 -2.026261
1.220000 0.011973 -2.028068
1.240000 0.009611 -2.028586
1.260000 0.007168 -2.025197
1.280000 0.005672 -2.026597
1.300000 0.004734 -2.033095
1.320000 0.004488 -2.035853
1.340000 0.001942 -2.029090
1.360000 0.000964 -2.030252
1.380000 -0.002029 -2.030966
1.400000 -0.003367 -2.029510
1.420000 -0.005385 -2.033683
1.440000 -0.007410 -2.041119
1.460000 -0.007571 -2.027423
1.480000 -0.007054 -2.029706
1.500000 -0.006446 -2.034887
1.520000 -0.007144 -2.031974
1.540000 -0.006836 -2.037408
1.560000 -0.008177 -2.037030
1.580000 -0.009332 -2.029356
1.600000 -0.008289 -2.043401
1.620000 -0.008023 -2.037898
1.640000 -0.008166 -2.033081
1.660000 -0.007654 -2.033655
1.680000 -0.006796 -2.035433
1.700000 -0.006896 -2.036161
1.720000 -0.005932 -2.035405
1.740000 -0.004767 -2.031876
1.760000 -0.004145 -2.043233
1.780000 -0.004372 -2.032633
1.800000 -0.003378 -2.029804
1.820000 -0.002520 -2.031386
1.840000 -0.001446 -2.041777
1.860000 -0.000901 -2.032535
1.880000 -0.000073 -2.032423
1.900000 0.001016 -2.035391
1.920000 0.001711 -2.038192
1.940000 0.002653 -2.036806
1.960000 0.001637 -2.031932
1.980000 0.002349 -2.022984
2.000000 0.003177 -2.027577
2.020000 0.003641 -2.039032
2.040000 0.003354 -2.037562
2.060000 0.003461 -2.029468
2.080000 0.003151 -2.029482
2.100000 0.001431 -2.030700
2.120000 0.001118 -2.035363
2.140000 -0.000042 -2.028894
2.160000 -0.000310 -2.032451
2.180000 -0.000945 -2.031120
2.200000 -0.001014 -2.035419
2.220000 -0.002054 -2.029356
2.240000 -0.002026 -2.032549
2.260000 -0.001475 -2.029538
2.280000 -0.001760 -2.033473
2.300000 -0.002697 -2.029748
2.320000 -0.003156 -2.038542
2.340000 -0.004100 -2.032072
2.360000 -0.005288 -2.032339
2.380000 -0.004204 -2.032423
2.400000 -0.004332 -2.034313
2.420000 -0.005216 -2.026247
2.440000 -0.005352 -2.033753
2.460000 -0.005689 -2.033165
2.480000 -0.005656 -2.028025
2.500000 -0.007418 -2.035377
2.520000 -0.006609 -2.029258
2.540000 -0.007469 -2.025729
2.560000 -0.007862 -2.024931
2.580000 -0.007689 -2.031554
2.600000 -0.008462 -2.031036
2.620000 -0.008286 -2.025911
2.640000 -0.009003 -2.033179
2.660000 -0.008643 -2.033711
2.680000 -0.007380 -2.033543
2.700000 -0.007942 -2.031806
2.720000 -0.008417 -2.033781
2.740000 -0.009386 -2.029958
2.760000 -0.010462 -2.038766
2.780000 -0.009785 -2.035237
2.800000 -0.009174 -2.034033
2.820000 -0.008146 -2.037212
2.840000 -0.007828 -2.035965
2.860000 -0.006737 -2.031582
2.880000 -0.005287 -2.034467
2.900000 -0.003490 -2.035181
2.920000 -0.001601 -2.036974
2.940000 -0.000308 -2.034803
2.960000 0.001424 -2.031512
2.980000 0.003086 -2.032787
3.000000 0.005571 -2.038654
3.020000 0.007477 -2.027241
3.040000 0.010283 -2.028964
3.060000 0.013170 -2.039634
3.080000 0.016074 -2.033305
3.100000 0.018674 -2.031638
3.120000 0.021484 -2.030896
3.140000 0.023299 -2.034775
3.160000 0.024231 -2.019273
3.180000 0.026379 -2.038010
3.200000 0.027680 -2.023782
3.220000 0.029587 -2.027325
3.240000 0.031264 -2.032661
3.260000 0.033547 -2.034691
3.280000 0.035181 -2.034355
3.300000 0.037024 -2.038234
3.320000 0.039769 -2.032409
3.340000 0.042158 -2.037464
3.360000 0.044245 -2.035041
3.380000 0.046084 -2.036946
3.400000 0.047432 -2.035041
3.420000 0.048366 -2.037352
3.440000 0.049090 -2.031652
3.460000 0.050267 -2.032058
3.480000 0.050958 -2.035363
3.500000 0.051431 -2.032535
3.520000 0.052776 -2.033081
3.540000 0.053014 -2.035139
3.560000 0.055317 -2.035867
3.580000 0.057591 -2.035797
3.600000 0.059080 -2.030574
3.620000 0.059830 -2.039732
3.640000 0.060891 -2.039648
3.660000 0.062073 -2.026135
3.680000 0.063186 -2.037128
3.700000 0.064375 -2.037352
3.720000 0.064030 -2.035699
3.740000 0.065320 -2.036624
3.760000 0.067252 -2.029762
3.780000 0.067801 -2.029216
3.800000 0.069250 -2.041175
3.820000 0.069259 -2.028180
3.840000 0.069501 -2.034019
3.860000 0.070551 -2.041973
3.880000 0.070025 -2.030896
3.900000 0.070437 -2.034173
3.920000 0.069838 -2.033081
3.940000 0.067634 -2.039130
3.960000 0.066510 -2.043079
3.980000 0.066379 -2.043765
4.000000 0.066562 -2.033711
4.020000 0.066261 -2.035671
4.040000 0.065409 -2.027367
4.060000 0.065049 -2.040531
4.080000 0.062575 -2.041959
4.100000 0.061269 -2.043723
4.120000 0.060669 -2.034845
4.140000 0.059422 -2.040993
4.160000 0.056876 -2.037730
