% Original filename: Decay Test 0Deg No StringPot0012.mat
0 Deg Decay NoStringPot Run 3 2018-04-12
Time(s) Response(deg) LoadCell(N)
3.220000 1.387843 -1.947128
3.240000 1.502836 -1.942661
3.260000 1.617638 -1.942927
3.280000 1.732946 -1.950797
3.300000 1.846358 -1.947114
3.320000 1.961395 -1.952309
3.340000 2.075127 -1.945154
3.360000 2.185884 -1.944229
3.380000 2.303507 -1.941205
3.400000 2.416051 -1.942269
3.420000 2.522948 -1.937578
3.440000 2.629671 -1.945560
3.460000 2.733172 -1.938824
3.480000 2.840768 -1.941611
3.500000 2.946763 -1.949089
3.520000 3.053249 -1.939286
3.540000 3.156850 -1.944453
3.560000 3.262547 -1.937060
3.580000 3.365821 -1.938656
3.600000 3.469333 -1.944888
3.620000 3.565152 -1.951889
3.640000 3.661272 -1.946330
3.660000 3.760720 -1.942255
3.680000 3.856764 -1.949019
3.700000 3.950646 -1.937592
3.720000 4.043281 -1.947898
3.740000 4.130614 -1.932340
3.760000 4.216883 -1.938502
3.780000 4.299169 -1.942325
3.800000 4.386395 -1.948836
3.820000 4.469510 -1.953864
3.840000 4.545409 -1.951357
3.860000 4.616506 -1.944145
3.880000 4.691068 -1.935813
3.900000 4.763119 -1.943641
3.920000 4.831125 -1.954242
3.940000 4.901635 -1.945336
3.960000 4.964822 -1.941331
3.980000 5.025469 -1.947828
4.000000 5.086535 -1.938922
4.020000 5.139308 -1.942759
4.040000 5.190135 -1.945378
4.060000 5.240654 -1.947436
4.080000 5.284839 -1.942983
4.100000 5.329820 -1.945854
4.120000 5.374583 -1.943613
4.140000 5.414174 -1.948262
4.160000 5.453447 -1.945504
4.180000 5.491258 -1.942423
4.200000 5.521738 -1.934329
4.220000 5.551555 -1.940196
4.240000 5.581779 -1.942521
4.260000 5.606306 -1.937900
4.280000 5.629208 -1.945392
4.300000 5.651894 -1.938824
4.320000 5.673071 -1.940056
4.340000 5.691435 -1.944593
4.360000 5.708742 -1.944972
4.380000 5.719869 -1.940686
4.400000 5.732979 -1.942199
4.420000 5.737406 -1.944958
4.440000 5.748497 -1.940841
4.460000 5.752746 -1.944019
4.480000 5.751807 -1.936163
4.500000 5.754558 -1.951049
4.520000 5.753668 -1.941107
4.540000 5.741824 -1.935701
4.560000 5.738733 -1.941303
4.580000 5.729532 -1.940238
4.600000 5.715707 -1.942409
4.620000 5.699538 -1.946148
4.640000 5.679641 -1.942213
4.660000 5.661193 -1.944579
4.680000 5.639712 -1.942997
4.700000 5.617391 -1.937424
4.720000 5.589450 -1.942647
4.740000 5.561959 -1.935519
4.760000 5.529321 -1.944803
4.780000 5.494460 -1.940574
4.800000 5.456799 -1.941387
4.820000 5.416340 -1.941051
4.840000 5.376784 -1.940182
4.860000 5.335563 -1.937312
4.880000 5.290470 -1.945924
4.900000 5.244705 -1.936149
4.920000 5.197292 -1.942563
4.940000 5.143844 -1.943753
4.960000 5.092265 -1.951175
4.980000 5.034709 -1.943081
5.000000 4.975163 -1.943641
5.020000 4.914864 -1.942171
5.040000 4.847725 -1.947030
5.060000 4.781996 -1.947520
5.080000 4.714819 -1.939454
5.100000 4.649100 -1.944649
5.120000 4.578025 -1.942269
5.140000 4.503143 -1.945112
5.160000 4.432875 -1.941807
5.180000 4.356134 -1.941485
5.200000 4.275570 -1.942899
5.220000 4.199920 -1.940644
5.240000 4.123946 -1.941051
5.260000 4.039922 -1.936303
5.280000 3.954776 -1.943613
5.300000 3.874760 -1.941261
5.320000 3.786493 -1.941107
5.340000 3.698463 -1.939566
5.360000 3.610806 -1.945336
5.380000 3.516630 -1.944495
5.400000 3.425120 -1.948752
5.420000 3.334071 -1.950937
5.440000 3.234937 -1.951273
5.460000 3.140836 -1.943179
5.480000 3.045155 -1.950139
5.500000 2.947491 -1.942619
5.520000 2.844986 -1.942311
5.540000 2.747761 -1.946974
5.560000 2.646470 -1.943319
5.580000 2.542727 -1.946428
5.600000 2.443109 -1.945896
5.620000 2.342649 -1.952533
5.640000 2.237574 -1.942535
5.660000 2.134937 -1.944285
5.680000 2.032042 -1.952575
5.700000 1.925204 -1.936808
5.720000 1.816243 -1.943333
5.740000 1.708417 -1.944719
5.760000 1.603287 -1.942451
5.780000 1.493620 -1.950517
5.800000 1.386230 -1.943837
5.820000 1.276834 -1.950125
5.840000 1.166955 -1.942577
5.860000 1.063050 -1.944257
5.880000 0.951961 -1.942857
5.900000 0.843873 -1.945770
5.920000 0.736883 -1.934959
5.940000 0.628443 -1.940532
5.960000 0.525168 -1.945322
5.980000 0.413088 -1.943333
6.000000 0.300776 -1.946498
6.020000 0.198152 -1.945154
6.040000 0.084061 -1.943487
6.060000 -0.029270 -1.947380
6.080000 -0.135503 -1.945070
6.100000 -0.244381 -1.944285
6.120000 -0.353752 -1.945084
6.140000 -0.459532 -1.942101
6.160000 -0.572195 -1.949383
6.180000 -0.677851 -1.949691
6.200000 -0.783539 -1.947814
6.220000 -0.889075 -1.943459
6.240000 -0.997350 -1.952099
6.260000 -1.095980 -1.954382
6.280000 -1.199568 -1.948934
6.300000 -1.302323 -1.946708
6.320000 -1.405254 -1.937648
6.340000 -1.499811 -1.945630
6.360000 -1.602981 -1.942619
6.380000 -1.702135 -1.949425
6.400000 -1.799619 -1.944649
6.420000 -1.896872 -1.946736
6.440000 -1.995264 -1.947184
6.460000 -2.089601 -1.946708
6.480000 -2.182184 -1.943655
6.500000 -2.281482 -1.951917
6.520000 -2.371664 -1.940266
6.540000 -2.461286 -1.943277
6.560000 -2.551392 -1.944299
6.580000 -2.638903 -1.936443
6.600000 -2.724648 -1.945630
6.620000 -2.810253 -1.950153
6.640000 -2.892147 -1.949537
6.660000 -2.975560 -1.948080
6.680000 -3.056813 -1.941429
6.700000 -3.132692 -1.944719
6.720000 -3.211868 -1.945000
6.740000 -3.293416 -1.943893
6.760000 -3.368294 -1.938418
6.780000 -3.442904 -1.943991
6.800000 -3.517388 -1.948066
6.820000 -3.589094 -1.948500
6.840000 -3.662853 -1.947870
6.860000 -3.728603 -1.947282
6.880000 -3.792357 -1.940210
6.900000 -3.857031 -1.947842
6.920000 -3.920974 -1.943403
6.940000 -3.982681 -1.947772
6.960000 -4.041082 -1.943529
6.980000 -4.094290 -1.949593
7.000000 -4.147758 -1.942283
7.020000 -4.197747 -1.949299
7.040000 -4.248003 -1.944789
7.060000 -4.293545 -1.942381
7.080000 -4.341688 -1.951931
7.100000 -4.385106 -1.937018
7.120000 -4.429515 -1.942311
7.140000 -4.470356 -1.948262
7.160000 -4.513868 -1.940294
7.180000 -4.549517 -1.947506
7.200000 -4.586508 -1.947744
7.220000 -4.618503 -1.937340
7.240000 -4.650722 -1.941345
7.260000 -4.682040 -1.943739
7.280000 -4.710226 -1.948780
7.300000 -4.740815 -1.942549
7.320000 -4.763681 -1.945070
7.340000 -4.785484 -1.943655
7.360000 -4.800641 -1.943445
7.380000 -4.814461 -1.951441
7.400000 -4.828827 -1.951231
7.420000 -4.842564 -1.943977
7.440000 -4.852579 -1.950587
7.460000 -4.861351 -1.947338
7.480000 -4.865200 -1.943319
7.500000 -4.869244 -1.938908
7.520000 -4.875040 -1.948920
7.540000 -4.871014 -1.936303
7.560000 -4.865840 -1.943291
7.580000 -4.859507 -1.946288
7.600000 -4.850699 -1.941303
7.620000 -4.840917 -1.941149
7.640000 -4.829646 -1.936892
7.660000 -4.812780 -1.942619
7.680000 -4.796731 -1.940168
7.700000 -4.781230 -1.944902
7.720000 -4.759692 -1.948920
7.740000 -4.736508 -1.946526
7.760000 -4.710009 -1.935855
7.780000 -4.681627 -1.946904
7.800000 -4.653540 -1.944537
7.820000 -4.620644 -1.943151
7.840000 -4.587933 -1.945658
7.860000 -4.557657 -1.939174
7.880000 -4.520843 -1.943095
7.900000 -4.483521 -1.948724
7.920000 -4.441624 -1.939944
7.940000 -4.401858 -1.948304
7.960000 -4.357708 -1.940813
7.980000 -4.314636 -1.942241
8.000000 -4.269726 -1.938684
8.020000 -4.223697 -1.941415
8.040000 -4.173456 -1.943347
8.060000 -4.125515 -1.931808
8.080000 -4.069916 -1.937592
8.100000 -4.015193 -1.943487
8.120000 -3.956958 -1.944299
8.140000 -3.895486 -1.936527
8.160000 -3.832881 -1.945840
8.180000 -3.773928 -1.943095
8.200000 -3.712252 -1.954914
8.220000 -3.648634 -1.943459
8.240000 -3.580419 -1.949999
8.260000 -3.507665 -1.941877
8.280000 -3.438201 -1.942157
8.300000 -3.366867 -1.946554
8.320000 -3.297986 -1.945196
8.340000 -3.219870 -1.942227
8.360000 -3.143847 -1.939090
8.380000 -3.067573 -1.942815
8.400000 -2.989429 -1.934315
8.420000 -2.916392 -1.935435
8.440000 -2.838853 -1.943025
8.460000 -2.755786 -1.937816
8.480000 -2.677343 -1.940462
8.500000 -2.595655 -1.943963
8.520000 -2.513190 -1.945000
8.540000 -2.430014 -1.945938
8.560000 -2.344880 -1.944173
8.580000 -2.258437 -1.943795
8.600000 -2.173972 -1.936948
8.620000 -2.086867 -1.944327
8.640000 -1.999556 -1.941051
8.660000 -1.913722 -1.949929
8.680000 -1.821890 -1.944944
8.700000 -1.732039 -1.943641
8.720000 -1.642743 -1.944159
8.740000 -1.551849 -1.943795
8.760000 -1.457609 -1.942577
8.780000 -1.367690 -1.951077
8.800000 -1.270887 -1.956230
8.820000 -1.179663 -1.948962
8.840000 -1.082869 -1.949243
8.860000 -0.992213 -1.944117
8.880000 -0.894085 -1.937872
8.900000 -0.801707 -1.942969
8.920000 -0.703951 -1.939384
8.940000 -0.603881 -1.948934
