90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
1521.000000, 8.096627E-5, -1.193931E-4, -4.604250E-5, 1.331928E-4, -1.262875E-6, 2.422444E-5, -4.734776E-5, -1.389134E-2
1600.000000, -7.048019E-6, -1.633078E-4, -9.250357E-5, 5.612823E-4, -2.782535E-4, 3.303332E-5, 2.697721E-5, 1.403137E-2
1681.000000, -7.048019E-6, -1.633078E-4, -1.335232E-4, 2.570239E-4, -1.982714E-4, 8.368442E-5, -1.398411E-4, -1.083861E-2
1764.000000, 1.249734E-4, -5.352106E-5, -4.436823E-5, 2.212789E-4, -1.376534E-4, -3.028055E-5, -9.965053E-5, 2.898697E-3
1849.000000, 3.695913E-5, -1.633078E-4, -1.255705E-6, 4.778772E-4, 1.389163E-5, 3.028055E-5, -4.789832E-5, 3.906939E-3
1936.000000, 3.695913E-5, -1.633078E-4, -1.012935E-4, 2.825561E-4, -3.872817E-4, 5.505554E-7, -4.514554E-5, -1.610387E-3
2025.000000, -2.905159E-5, -9.743577E-5, -1.088277E-4, 5.885166E-4, -3.914913E-4, 8.478553E-5, -4.514554E-5, 1.900257E-2
2116.000000, -2.905159E-5, -9.743577E-5, -9.041073E-5, 2.259598E-4, -4.508464E-4, 6.331387E-5, 5.505554E-6, -7.141717E-4
2209.000000, 1.495555E-5, -1.852652E-4, -9.124786E-5, 5.285160E-4, -1.704881E-4, -3.138166E-5, -5.285332E-5, 1.487157E-2
2304.000000, 1.469770E-4, -3.156370E-5, -5.608814E-5, 4.527706E-4, 2.294223E-4, 8.643720E-5, -6.001054E-5, 2.793672E-2
2401.000000, 1.469770E-4, -3.156370E-5, -2.260268E-5, 3.302161E-4, -3.308733E-4, 3.028055E-5, -1.013022E-4, 8.640077E-3
2500.000000, 5.896270E-5, -1.413505E-4, -5.441386E-6, 4.557493E-4, -3.957009E-5, 5.505554E-5, -4.899943E-5, 9.242222E-4
2601.000000, -5.105516E-5, -1.193931E-4, -7.324943E-5, 4.446854E-4, 7.871922E-5, 1.596611E-5, -3.303332E-6, 1.582380E-3
2704.000000, -5.105516E-5, -1.193931E-4, -2.092841E-6, 3.276629E-4, 8.419167E-7, 5.780832E-5, -6.606665E-5, -4.817158E-3
2809.000000, -2.905159E-5, -2.291799E-4, -5.064675E-5, 4.361747E-4, -3.157188E-5, 3.193221E-5, -3.523554E-5, -3.198369E-2
2916.000000, 8.096627E-5, -9.606344E-6, 2.050984E-5, 5.923465E-4, -4.344291E-4, 7.542609E-5, -6.496554E-5, -5.615350E-3
3025.000000, 8.096627E-5, -9.606344E-6, 7.115659E-6, 4.536217E-4, -4.462159E-4, -5.505554E-6, -4.789832E-5, 1.365328E-2
3136.000000, 8.096627E-5, -1.633078E-4, -1.297561E-5, 2.778752E-4, -1.949037E-4, 3.468499E-5, -1.651666E-6, -9.802356E-3
3249.000000, 3.695913E-5, -1.413505E-4, -4.771677E-5, 3.706421E-4, -1.852217E-4, 3.468499E-5, -1.706722E-5, 2.212532E-3
3364.000000, 3.695913E-5, -1.413505E-4, -1.674273E-5, 6.455385E-4, -2.087954E-4, 5.670721E-5, -2.642666E-5, 3.934946E-3
