% Original filename: Decay 90Deg Spring0006.mat
90 Deg Decay Spring Run 1 2018-04-13
Time(s) Response(deg) LoadCell(N)
4.040000 -0.299310 0.074778
4.060000 -0.141379 0.073588
4.080000 0.009622 0.075268
4.100000 0.168319 0.076178
4.120000 0.316745 0.072691
4.140000 0.459062 0.073588
4.160000 0.595603 0.076066
4.180000 0.687259 0.070661
4.200000 0.738914 0.069177
4.220000 0.813794 0.070087
4.240000 0.880786 0.063435
4.260000 0.942960 0.060453
4.280000 0.983976 0.069037
4.300000 1.017977 0.070339
4.320000 1.078245 0.064920
4.340000 1.134409 0.066054
4.360000 1.195531 0.076640
4.380000 1.251907 0.076977
4.400000 1.307459 0.072145
4.420000 1.373188 0.073042
4.440000 1.449970 0.072846
4.460000 1.550161 0.074694
4.480000 1.620324 0.069527
4.500000 1.650717 0.074736
4.520000 1.674545 0.073924
4.540000 1.676020 0.078083
4.560000 1.657080 0.076794
4.580000 1.636882 0.076486
4.600000 1.605932 0.076472
4.620000 1.568263 0.063127
4.640000 1.519124 0.064401
4.660000 1.455959 0.067272
4.680000 1.343606 0.066894
4.700000 1.199353 0.067412
4.720000 1.068778 0.074274
4.740000 0.953519 0.076794
4.760000 0.852355 0.069933
4.780000 0.770347 0.067552
4.800000 0.701221 0.069373
4.820000 0.642048 0.070563
4.840000 0.587513 0.070927
4.860000 0.538683 0.073728
4.880000 0.492292 0.073392
4.900000 0.442968 0.067188
4.920000 0.396959 0.063813
4.940000 0.354019 0.066348
4.960000 0.313766 0.061531
4.980000 0.274751 0.068154
5.000000 0.240362 0.070339
5.020000 0.215970 0.059486
5.040000 0.189435 0.071235
5.060000 0.158181 0.065676
5.080000 0.124466 0.070059
5.100000 0.093443 0.064233
5.120000 0.075791 0.067034
5.140000 0.059349 0.070479
5.160000 0.052995 0.063519
5.180000 0.055469 0.071487
5.200000 0.095340 0.071795
5.220000 0.172844 0.069849
5.240000 0.236523 0.072019
5.260000 0.292878 0.065396
5.280000 0.333576 0.067160
5.300000 0.369562 0.069947
5.320000 0.398784 0.072846
5.340000 0.412637 0.081738
5.360000 0.423205 0.067874
5.380000 0.418280 0.072789
5.400000 0.393585 0.068294
5.420000 0.357094 0.069247
5.440000 0.306808 0.071207
5.460000 0.237083 0.068392
5.480000 0.154306 0.065214
5.500000 0.125708 0.060453
5.520000 0.135480 0.071151
5.540000 0.154221 0.070087
5.560000 0.174177 0.067174
5.580000 0.192532 0.075324
5.600000 0.200523 0.069387
5.620000 0.208265 0.063897
5.640000 0.214917 0.061657
5.660000 0.219854 0.069303
5.680000 0.223234 0.066796
5.700000 0.225580 0.072243
5.720000 0.230712 0.068392
5.740000 0.232878 0.064107
5.760000 0.238928 0.068981
5.780000 0.240907 0.063015
5.800000 0.250119 0.060901
5.820000 0.265968 0.063099
5.840000 0.277782 0.069905
5.860000 0.297867 0.060999
5.880000 0.335303 0.067076
5.900000 0.388170 0.057862
5.920000 0.445482 0.063659
5.940000 0.512489 0.073322
5.960000 0.593085 0.070143
5.980000 0.686147 0.073602
6.000000 0.790681 0.071739
6.020000 0.869809 0.068252
6.040000 0.902474 0.069135
6.060000 0.933483 0.067370
6.080000 0.959878 0.063197
6.100000 0.979928 0.073392
6.120000 0.988674 0.065298
6.140000 0.984744 0.062651
6.160000 0.984153 0.066586
6.180000 0.966753 0.066236
6.200000 0.949797 0.062385
6.220000 0.921522 0.073028
6.240000 0.893605 0.075660
6.260000 0.853572 0.064093
6.280000 0.811885 0.071361
6.300000 0.770225 0.069877
6.320000 0.715852 0.073056
6.340000 0.668563 0.067440
6.360000 0.606671 0.069933
6.380000 0.545859 0.072789
6.400000 0.485590 0.068925
6.420000 0.422800 0.071291
6.440000 0.318565 0.064037
6.460000 0.195149 0.067916
6.480000 0.091364 0.075114
6.500000 -0.016374 0.073224
6.520000 -0.112859 0.064934
6.540000 -0.192905 0.068644
6.560000 -0.257795 0.073224
6.580000 -0.304501 0.074484
6.600000 -0.314308 0.068743
6.620000 -0.264105 0.069863
6.640000 -0.223310 0.071291
6.660000 -0.177287 0.075674
6.680000 -0.134766 0.076164
6.700000 -0.101766 0.069149
6.720000 -0.070050 0.063197
6.740000 -0.033439 0.066964
6.760000 -0.011356 0.071053
6.780000 0.007991 0.067356
6.800000 0.022576 0.075240
6.820000 0.033027 0.072467
6.840000 0.044546 0.061601
6.860000 0.052050 0.064261
6.880000 0.058499 0.074330
6.900000 0.065986 0.066936
6.920000 0.067085 0.074708
6.940000 0.072600 0.067790
6.960000 0.074510 0.068238
6.980000 0.065621 0.069289
7.000000 0.056071 0.076178
7.020000 0.039434 0.067160
7.040000 0.028787 0.067538
7.060000 0.012164 0.066600
7.080000 -0.004491 0.067104
7.100000 -0.026913 0.067720
7.120000 -0.057064 0.066726
7.140000 -0.091337 0.063155
7.160000 -0.138091 0.062385
7.180000 -0.175100 0.061307
7.200000 -0.225555 0.065844
7.220000 -0.281657 0.072453
7.240000 -0.347088 0.070101
7.260000 -0.373243 0.070479
7.280000 -0.370840 0.067986
7.300000 -0.368959 0.064752
7.320000 -0.333691 0.068182
7.340000 -0.279972 0.074218
7.360000 -0.211046 0.066698
7.380000 -0.116431 0.064724
7.400000 -0.000586 0.062231
7.420000 0.112305 0.060383
7.440000 0.167108 0.067258
7.460000 0.220065 0.063799
7.480000 0.270228 0.063337
7.500000 0.311669 0.064766
7.520000 0.353102 0.070591
7.540000 0.391362 0.070381
7.560000 0.423433 0.063673
7.580000 0.451055 0.067524
7.600000 0.475402 0.068140
7.620000 0.504723 0.068616
7.640000 0.530499 0.065060
7.660000 0.543163 0.070773
7.680000 0.555875 0.067496
7.700000 0.565679 0.072005
7.720000 0.567148 0.066950
7.740000 0.575447 0.068378
7.760000 0.574818 0.071879
7.780000 0.565239 0.070661
7.800000 0.551868 0.070227
7.820000 0.533747 0.072705
7.840000 0.521502 0.070437
7.860000 0.494724 0.068518
7.880000 0.466325 0.064472
7.900000 0.436258 0.066838
7.920000 0.403018 0.073742
7.940000 0.368081 0.073462
7.960000 0.339229 0.066110
7.980000 0.306259 0.059724
8.000000 0.261524 0.065858
8.020000 0.217751 0.067006
8.040000 0.175208 0.081093
8.060000 0.135623 0.069429
8.080000 0.091013 0.068294
8.100000 0.049160 0.062931
8.120000 0.008945 0.063197
8.140000 -0.034190 0.072089
8.160000 -0.073959 0.057652
8.180000 -0.108715 0.063813
8.200000 -0.143820 0.065312
8.220000 -0.180908 0.063183
8.240000 -0.222005 0.068280
8.260000 -0.260812 0.059780
8.280000 -0.296443 0.060046
8.300000 -0.332145 0.066376
8.320000 -0.359003 0.067454
8.340000 -0.384542 0.059318
8.360000 -0.413560 0.063323
8.380000 -0.440397 0.068855
8.400000 -0.452969 0.063449
8.420000 -0.459350 0.059864
8.440000 -0.467164 0.061769
8.460000 -0.479807 0.065102
8.480000 -0.486699 0.069023
8.500000 -0.484304 0.070199
8.520000 -0.483356 0.066082
8.540000 -0.479289 0.064794
8.560000 -0.477295 0.062189
8.580000 -0.474623 0.068490
8.600000 -0.467010 0.062861
8.620000 -0.454962 0.062189
8.640000 -0.436611 0.066068
8.660000 -0.424439 0.071487
8.680000 -0.400124 0.074890
8.700000 -0.377330 0.074414
8.720000 -0.353800 0.068294
8.740000 -0.327056 0.060284
8.760000 -0.296800 0.066166
8.780000 -0.271822 0.055817
8.800000 -0.241316 0.068056
8.820000 -0.205779 0.062469
8.840000 -0.167531 0.068981
8.860000 -0.131223 0.062707
8.880000 -0.095889 0.061223
8.900000 -0.062113 0.062623
8.920000 -0.027287 0.071123
8.940000 0.005885 0.066488
8.960000 0.037587 0.067538
8.980000 0.062703 0.066306
9.000000 0.084587 0.068294
9.020000 0.108760 0.060144
9.040000 0.127562 0.062455
9.060000 0.145350 0.061111
9.080000 0.167056 0.065746
9.100000 0.190836 0.070605
9.120000 0.212427 0.070661
9.140000 0.228442 0.071207
9.160000 0.244642 0.074008
9.180000 0.258776 0.070521
9.200000 0.274701 0.066922
9.220000 0.289184 0.064331
9.240000 0.295084 0.068715
9.260000 0.296271 0.067426
9.280000 0.299343 0.061027
9.300000 0.304122 0.060439
9.320000 0.299652 0.070913
9.340000 0.297039 0.062371
9.360000 0.292278 0.072383
9.380000 0.288698 0.069611
9.400000 0.275154 0.066558
9.420000 0.261588 0.070913
9.440000 0.252846 0.073896
9.460000 0.240893 0.068070
9.480000 0.227588 0.065690
9.500000 0.214077 0.065816
9.520000 0.198226 0.069709
9.540000 0.179489 0.067048
9.560000 0.154764 0.074274
9.580000 0.128576 0.058352
9.600000 0.106598 0.068644
9.620000 0.086814 0.071837
9.640000 0.066538 0.069947
9.660000 0.044245 0.069597
9.680000 0.014799 0.057526
9.700000 -0.013561 0.064472
9.720000 -0.037007 0.069387
9.740000 -0.066229 0.069863
9.760000 -0.103220 0.074022
9.780000 -0.148553 0.067930
9.800000 -0.197244 0.068841
9.820000 -0.174592 0.067188
9.840000 -0.173204 0.066278
9.860000 -0.171983 0.061587
9.880000 -0.170115 0.063981
9.900000 -0.172243 0.064233
9.920000 -0.177377 0.067636
9.940000 -0.184489 0.070913
9.960000 -0.187332 0.071627
9.980000 -0.187030 0.067664
10.000000 -0.181065 0.073014
10.020000 -0.173385 0.069499
10.040000 -0.170749 0.070297
10.060000 -0.170300 0.063813
10.080000 -0.168992 0.068532
10.100000 -0.161939 0.069947
10.120000 -0.155928 0.070325
10.140000 -0.150866 0.066824
10.160000 -0.143983 0.068687
