90 Deg Regular Run 8 2018-04-13
Time(s) Response(deg) LoadCell(N)
0.000000 0.008421 0.016986
0.020000 0.013613 0.024940
0.040000 0.018183 0.020305
0.060000 0.022163 0.013107
0.080000 0.025585 0.016930
0.100000 0.028481 0.007436
0.120000 0.030883 0.019157
0.140000 0.032824 0.018162
0.160000 0.034336 0.019591
0.180000 0.035450 0.017672
0.200000 0.036199 0.017966
0.220000 0.036615 0.016888
0.240000 0.036730 0.016664
0.260000 0.036576 0.014045
0.280000 0.036185 0.008290
0.300000 0.035590 0.014087
0.320000 0.034822 0.015852
0.340000 0.033914 0.018821
0.360000 0.032897 0.020417
0.380000 0.031805 0.016580
0.400000 0.030668 0.018694
0.420000 0.031557 0.013653
0.440000 0.030020 0.018218
0.460000 0.029509 0.018694
0.480000 0.028682 0.022209
0.500000 0.029281 0.018624
0.520000 0.028814 0.019003
0.540000 0.027606 0.019787
0.560000 0.026924 0.020375
0.580000 0.027359 0.021453
0.600000 0.027124 0.016244
0.620000 0.028039 0.021915
0.640000 0.028620 0.016776
0.660000 0.028833 0.015222
0.680000 0.029844 0.017196
0.700000 0.030303 0.013471
0.720000 0.031621 0.010699
0.740000 0.031709 0.017700
0.760000 0.031933 0.014535
0.780000 0.032617 0.018751
0.800000 0.033272 0.015460
0.820000 0.034120 0.022251
0.840000 0.034835 0.020963
0.860000 0.036479 0.018414
0.880000 0.036579 0.018302
0.900000 0.036265 0.021089
0.920000 0.036929 0.022615
0.940000 0.036891 0.027629
0.960000 0.037415 0.014269
0.980000 0.037397 0.019353
1.000000 0.037598 0.009144
1.020000 0.036523 0.021901
1.040000 0.036560 0.019857
1.060000 0.036574 0.016552
1.080000 0.035120 0.013779
1.100000 0.033371 0.021257
1.120000 0.030478 0.018092
1.140000 0.029498 0.017714
1.160000 0.028800 0.023652
1.180000 0.028971 0.020403
1.200000 0.027870 0.021481
1.220000 0.026544 0.020277
1.240000 0.024694 0.022237
1.260000 0.023129 0.025010
1.280000 0.020570 0.018064
1.300000 0.019018 0.020179
1.320000 0.016575 0.018919
1.340000 0.014354 0.022111
1.360000 0.013851 0.019885
1.380000 0.010909 0.008850
1.400000 0.010455 0.019871
1.420000 0.009532 0.015040
1.440000 0.008921 0.020529
1.460000 0.008609 0.013905
1.480000 0.008605 0.024170
1.500000 0.008800 0.021327
1.520000 0.008969 0.011399
1.540000 0.008213 0.016902
1.560000 0.008159 0.014087
1.580000 0.008977 0.016090
1.600000 0.009004 0.020599
1.620000 0.008739 0.022279
1.640000 0.009484 0.015950
1.660000 0.010005 0.021411
1.680000 0.009672 0.014325
1.700000 0.009979 0.016258
1.720000 0.010407 0.016230
1.740000 0.010942 0.019941
1.760000 0.011474 0.008864
1.780000 0.010971 0.014199
1.800000 0.011077 0.017294
1.820000 0.010671 0.013289
1.840000 0.011379 0.012085
1.860000 0.011613 0.013513
1.880000 0.011868 0.020907
1.900000 0.012287 0.021425
1.920000 0.012064 0.014283
1.940000 0.012712 0.015824
1.960000 0.011551 0.014115
1.980000 0.011264 0.021299
2.000000 0.009888 0.009256
2.020000 0.008877 0.016272
2.040000 0.008702 0.010923
2.060000 0.007819 0.013513
2.080000 0.007483 0.017826
2.100000 0.007332 0.013051
2.120000 0.006073 0.016916
2.140000 0.005075 0.007436
2.160000 0.005905 0.013961
2.180000 0.004562 0.015390
2.200000 0.004591 0.017392
2.220000 0.004283 0.017602
2.240000 0.004008 0.007072
2.260000 0.004487 0.009578
2.280000 0.005463 0.006960
2.300000 0.006362 0.005741
2.320000 0.006185 0.011693
2.340000 0.006802 0.006708
2.360000 0.007587 0.010040
2.380000 0.008477 0.010278
2.400000 0.008214 0.014704
2.420000 0.008870 0.012897
2.440000 0.009959 0.011931
2.460000 0.010420 0.008234
2.480000 0.010488 0.014325
2.500000 0.011200 0.016132
2.520000 0.011968 0.009200
2.540000 0.011302 0.016972
2.560000 0.010495 0.011357
2.580000 0.009661 0.014381
2.600000 0.010455 0.012169
2.620000 0.010010 0.012687
2.640000 0.009153 0.020599
2.660000 0.008239 0.011889
2.680000 0.006980 0.021285
2.700000 0.005953 0.012631
2.720000 0.004616 0.016804
2.740000 0.002761 0.015628
2.760000 0.000162 0.016790
